name	first_year	episode_name	season	episode_number	star_1	star_2	star_3	star_4	star_5	star_6	star_7	star_8	star_9	star_10
Adventure Time with Finn _ Jake 2010	2010	Dad_s Dungeon	3	25	11	0	0	0	3	3	11	18	11	18
Adventure Time with Finn _ Jake 2010	2010	Daddy_s Little Monster	4	6	9	3	0	0	0	3	9	16	9	16
Adventure Time with Finn _ Jake 2010	2010	Davey	5	7	11	0	0	0	3	3	19	11	11	27
Adventure Time with Finn _ Jake 2010	2010	Death in Bloom	2	17	10	0	3	0	3	3	10	17	17	17
Adventure Time with Finn _ Jake 2010	2010	Donny	1	21	12	0	4	0	4	4	21	30	4	12
Adventure Time with Finn _ Jake 2010	2010	Dream of Love	4	4	17	3	3	3	3	10	17	3	3	10
Adventure Time with Finn _ Jake 2010	2010	Dungeon	1	18	17	5	0	0	5	5	5	29	29	29
Adventure Time with Finn _ Jake 2010	2010	Dungeon Train	5	36	10	0	0	2	2	2	6	6	6	10
Adventure Time with Finn _ Jake 2010	2010	Earth _ Water	5	32	11	0	0	0	0	2	6	6	11	6
Adventure Time with Finn _ Jake 2010	2010	Evicted_	1	12	18	6	0	0	6	6	6	31	18	31
Adventure Time with Finn _ Jake 2010	2010	Finn the Human	5	1	19	0	0	6	6	6	6	6	32	57
Adventure Time with Finn _ Jake 2010	2010	Fionna and Cake	3	9	9	0	9	9	9	9	9	27	45	100
Adventure Time with Finn _ Jake 2010	2010	Five More Short Graybles	5	3	9	0	0	0	3	3	9	15	9	15
Adventure Time with Finn _ Jake 2010	2010	Five Short Graybles	4	2	10	0	0	3	3	3	10	17	10	24
Adventure Time with Finn _ Jake 2010	2010	Freak City	1	20	5	0	5	0	5	5	16	38	5	27
Adventure Time with Finn _ Jake 2010	2010	From Bad to Worse	3	13	10	0	0	0	3	3	17	24	10	10
Adventure Time with Finn _ Jake 2010	2010	Frost _ Fire	5	30	8	0	0	0	0	2	8	14	8	14
Adventure Time with Finn _ Jake 2010	2010	Ghost Princess	3	24	10	0	0	0	3	3	17	17	3	17
Adventure Time with Finn _ Jake 2010	2010	Go with Me	2	20	10	0	3	0	0	3	10	18	18	10
Adventure Time with Finn _ Jake 2010	2010	Goliad	4	10	11	0	0	0	3	3	11	18	11	18
Adventure Time with Finn _ Jake 2010	2010	Gotcha_	4	12	10	0	3	0	3	10	10	16	3	10
Adventure Time with Finn _ Jake 2010	2010	Guardians of Sunshine	2	16	12	0	4	0	0	4	12	20	20	20
Adventure Time with Finn _ Jake 2010	2010	Gut Grinder	1	26	4	0	4	4	4	4	32	23	4	23
Adventure Time with Finn _ Jake 2010	2010	Heat Signature	2	26	27	0	0	0	0	5	16	27	5	27
Adventure Time with Finn _ Jake 2010	2010	Henchman	1	22	5	0	5	0	0	5	15	26	15	26
Adventure Time with Finn _ Jake 2010	2010	Her Parents	2	12	12	0	4	0	4	4	12	20	20	12
Adventure Time with Finn _ Jake 2010	2010	His Hero	1	25	5	0	5	0	5	5	26	26	5	26
Adventure Time with Finn _ Jake 2010	2010	Hitman	3	4	11	0	0	3	3	3	11	18	11	18
Adventure Time with Finn _ Jake 2010	2010	Holly Jolly Secrets Part I	3	19	10	0	0	0	3	3	10	24	10	17
Adventure Time with Finn _ Jake 2010	2010	Holly Jolly Secrets Part II	3	20	14	0	0	0	4	4	4	14	14	34
Adventure Time with Finn _ Jake 2010	2010	Hot to the Touch	4	1	15	0	0	0	5	5	15	25	15	25
Adventure Time with Finn _ Jake 2010	2010	Hug Wolf	4	8	10	0	0	3	3	3	17	17	3	17
Adventure Time with Finn _ Jake 2010	2010	I Remember You	4	25	9	9	0	0	0	9	9	9	28	123
Adventure Time with Finn _ Jake 2010	2010	Ignition Point	4	22	9	3	0	0	0	3	9	15	3	22
Adventure Time with Finn _ Jake 2010	2010	In Your Footsteps	4	7	9	0	0	3	3	3	15	15	9	9
Adventure Time with Finn _ Jake 2010	2010	Incendium	3	26	12	0	0	0	4	0	12	12	20	29
Adventure Time with Finn _ Jake 2010	2010	It Came from the Nightosphere	2	1	5	5	5	0	5	5	5	27	27	38
Adventure Time with Finn _ Jake 2010	2010	Jake the Dad	5	6	16	0	0	0	5	5	5	16	16	48
Adventure Time with Finn _ Jake 2010	2010	Jake the Dog	5	2	16	0	0	0	5	5	5	16	28	50
Adventure Time with Finn _ Jake 2010	2010	Jake vs_ Me_Mow	3	16	12	0	0	0	4	4	12	20	12	20
Adventure Time with Finn _ Jake 2010	2010	Jakesuit	5	27	11	0	0	0	0	3	11	11	11	19
Adventure Time with Finn _ Jake 2010	2010	James	5	42	10	0	0	2	0	0	2	10	10	10
Adventure Time with Finn _ Jake 2010	2010	James Baxter the Horse	5	19	11	0	0	0	3	3	11	11	11	18
Adventure Time with Finn _ Jake 2010	2010	King Worm	4	18	12	0	0	0	0	4	12	20	12	20
Adventure Time with Finn _ Jake 2010	2010	Lady _ Peebles	4	19	11	0	0	0	0	3	11	18	11	18
Adventure Time with Finn _ Jake 2010	2010	Little Dude	5	10	9	0	0	3	3	3	9	23	3	16
Adventure Time with Finn _ Jake 2010	2010	Love Games	5	35	8	0	1	0	1	5	8	5	1	5
Adventure Time with Finn _ Jake 2010	2010	Loyalty to the King	2	3	4	0	4	4	4	4	14	34	14	14
Adventure Time with Finn _ Jake 2010	2010	Marceline_s Closet	3	21	12	0	4	0	0	4	12	12	20	29
Adventure Time with Finn _ Jake 2010	2010	Memories of Boom Boom Mountain	1	10	6	6	0	6	6	6	20	33	20	33
Adventure Time with Finn _ Jake 2010	2010	Memory of a Memory	3	3	15	0	5	5	0	0	5	15	26	37
Adventure Time with Finn _ Jake 2010	2010	Morituri Te Salutamus	3	2	11	3	0	3	3	3	11	26	3	11
Adventure Time with Finn _ Jake 2010	2010	Mortal Folly	2	24	15	0	0	5	5	5	5	5	25	36
Adventure Time with Finn _ Jake 2010	2010	Mortal Recoil	2	25	12	0	0	4	0	0	4	12	20	28
Adventure Time with Finn _ Jake 2010	2010	My Two Favorite People	1	9	14	4	0	0	4	4	14	34	14	14
Adventure Time with Finn _ Jake 2010	2010	Mystery Dungeon	5	8	11	0	0	3	0	3	3	11	19	27
Adventure Time with Finn _ Jake 2010	2010	Mystery Train	2	19	12	0	4	0	4	4	12	12	20	28
Adventure Time with Finn _ Jake 2010	2010	No One Can Hear You	3	15	11	0	3	3	3	3	11	11	11	19
Adventure Time with Finn _ Jake 2010	2010	Ocean of Fear	1	16	14	0	4	4	4	4	14	24	14	24
Adventure Time with Finn _ Jake 2010	2010	One Last Job	5	23	7	0	0	0	2	2	7	12	7	17
Adventure Time with Finn _ Jake 2010	2010	Paper Pete	3	22	9	0	3	3	3	3	9	15	9	9
Adventure Time with Finn _ Jake 2010	2010	Play Date	5	40	9	0	0	1	0	1	9	5	1	9
Adventure Time with Finn _ Jake 2010	2010	Power Animal	2	7	11	0	3	0	3	3	11	27	11	11
Adventure Time with Finn _ Jake 2010	2010	Princess Cookie	4	13	16	0	0	0	0	5	5	16	16	48
Adventure Time with Finn _ Jake 2010	2010	Princess Monster Wife	4	9	10	3	0	3	3	3	16	10	3	16
Adventure Time with Finn _ Jake 2010	2010	Princess Potluck	5	18	10	0	0	3	0	3	10	17	3	17
Adventure Time with Finn _ Jake 2010	2010	Prisoners of Love	1	3	8	8	0	0	8	24	24	57	8	41
